index,date,time,open,high,low,close
NIFTY,20160919,13:10,8813.35,8813.9,8812.85,8813.75
NIFTY,20160919,13:11,8813.55,8813.95,8811.9,8812
NIFTY,20160919,13:12,8812.3,8812.6,8810.65,8811.25
NIFTY,20160919,13:13,8811.15,8814.4,8810.85,8813.85
NIFTY,20160919,13:14,8813.95,8814.3,8812.25,8812.7
NIFTY,20160919,13:15,8812.65,8813.5,8812.15,8812.65
NIFTY,20160919,13:16,8812.95,8812.95,8811.35,8811.55
NIFTY,20160919,13:17,8812,8817.65,8812,8817.55
NIFTY,20160919,13:18,8817.6,8817.65,8813.3,8813.45
NIFTY,20160919,13:19,8814.15,8815.35,8813.3,8813.95
NIFTY,20160919,13:20,8813.9,8814.05,8811.6,8811.6
NIFTY,20160919,13:21,8811.65,8812.5,8811.35,8812.5
NIFTY,20160919,13:22,8812.65,8813.75,8812.35,8812.8
NIFTY,20160919,13:23,8812.9,8813.1,8810.6,8810.95
NIFTY,20160919,13:24,8811.2,8812.3,8811.05,8811.1
NIFTY,20160919,13:25,8810.8,8811.55,8810.45,8810.6
NIFTY,20160919,13:26,8810.55,8810.75,8809.8,8810.6
NIFTY,20160919,13:27,8810.7,8812.3,8810.15,8811.05
NIFTY,20160919,13:28,8811.15,8811.2,8810.15,8810.75
NIFTY,20160919,13:29,8811,8811.9,8810.35,8811.65
NIFTY,20160919,13:30,8811.9,8812.95,8811.45,8812.05
NIFTY,20160919,13:31,8811.9,8812.7,8811.65,8811.85
NIFTY,20160919,13:32,8811.9,8811.9,8811,8811.5
NIFTY,20160919,13:33,8811.95,8811.95,8810.65,8810.75
NIFTY,20160919,13:34,8810.65,8811.2,8808.4,8809.55
NIFTY,20160919,13:35,8809.7,8811.2,8809.15,8809.95
NIFTY,20160919,13:36,8810.15,8810.7,8808.95,8809.1
NIFTY,20160919,13:37,8809.6,8809.75,8804.55,8804.6
NIFTY,20160919,13:38,8804.15,8805.25,8803.35,8804.05
NIFTY,20160919,13:39,8803.9,8804.85,8803.3,8804.5
NIFTY,20160919,13:40,8804.3,8805.25,8802.75,8802.9
NIFTY,20160919,13:41,8802.75,8802.85,8799.9,8801.05
NIFTY,20160919,13:42,8801.35,8801.35,8798.9,8800.6
NIFTY,20160919,13:43,8800.85,8802.35,8800.35,8802.05
NIFTY,20160919,13:44,8801.75,8803.1,8801.2,8802.55
NIFTY,20160919,13:45,8802.4,8803.5,8801.15,8803.15
NIFTY,20160919,13:46,8803.8,8805.3,8802,8805.1
NIFTY,20160919,13:47,8805.05,8806.45,8804.55,8805.85
NIFTY,20160919,13:48,8805.9,8806.7,8805.8,8806.25
NIFTY,20160919,13:49,8806.3,8806.9,8804.45,8804.6
NIFTY,20160919,13:50,8804.4,8804.6,8803,8803.1
NIFTY,20160919,13:51,8802.75,8803.5,8802.25,8802.55
NIFTY,20160919,13:52,8802.8,8803.25,8802.55,8802.95
NIFTY,20160919,13:53,8803,8805,8803,8804.8
NIFTY,20160919,13:54,8804.65,8805.5,8803.85,8804.75
NIFTY,20160919,13:55,8804.7,8804.9,8801.55,8801.55
NIFTY,20160919,13:56,8801.6,8802.9,8801.55,8802.25
NIFTY,20160919,13:57,8802.15,8802.8,8800.95,8800.95
NIFTY,20160919,13:58,8801.25,8802.45,8801.2,8802.05
NIFTY,20160919,13:59,8802,8803.45,8801.45,8803.45
NIFTY,20160919,14:00,8803.55,8806.7,8803.45,8806.1
NIFTY,20160919,14:01,8806.25,8807.65,8805.85,8807.45
NIFTY,20160919,14:02,8807.25,8808.6,8806.75,8807.35
NIFTY,20160919,14:03,8807.7,8809.75,8807.7,8808.05
NIFTY,20160919,14:04,8808.4,8808.4,8806.75,8807.75
NIFTY,20160919,14:05,8807.95,8808.5,8805.7,8806.05
NIFTY,20160919,14:06,8806.1,8807.2,8805.55,8806.9
NIFTY,20160919,14:07,8806.85,8808,8806.55,8807.15
NIFTY,20160919,14:08,8806.95,8808.2,8806.75,8808.2
NIFTY,20160919,14:09,8808.1,8808.8,8807.65,8808.8
NIFTY,20160919,14:10,8808.75,8812,8808.75,8812
NIFTY,20160919,14:11,8812.45,8812.5,8809.55,8809.9
NIFTY,20160919,14:12,8810.2,8810.55,8808.75,8810.1
NIFTY,20160919,14:13,8810.15,8810.75,8809.5,8809.6
NIFTY,20160919,14:14,8809.4,8809.75,8807.45,8808.15
NIFTY,20160919,14:15,8808.5,8809.6,8808.5,8809.05
NIFTY,20160919,14:16,8809.1,8810.4,8809.1,8810.1
NIFTY,20160919,14:17,8810.3,8811.65,8809.45,8811.3
NIFTY,20160919,14:18,8811.5,8812.45,8811.3,8812
NIFTY,20160919,14:19,8812.1,8813.9,8811.6,8813.9
NIFTY,20160919,14:20,8814.1,8814.55,8812.35,8813.4
NIFTY,20160919,14:21,8813.6,8814.55,8812.5,8814.35
NIFTY,20160919,14:22,8814.45,8815.7,8814.4,8815.55
NIFTY,20160919,14:23,8816.15,8816.6,8814.85,8815.1
NIFTY,20160919,14:24,8815,8815.1,8812.9,8814
NIFTY,20160919,14:25,8814.05,8816.1,8813.75,8815.9
NIFTY,20160919,14:26,8815.85,8816.7,8814.75,8814.8
NIFTY,20160919,14:27,8814.65,8816.9,8814.65,8816.25
NIFTY,20160919,14:28,8816.65,8817.35,8815.05,8817.3
NIFTY,20160919,14:29,8817.7,8818.1,8816.05,8817.1
NIFTY,20160919,14:30,8817.25,8817.25,8814.55,8816.65
NIFTY,20160919,14:31,8815.95,8817.85,8815.55,8817.55
NIFTY,20160919,14:32,8817.7,8819.3,8817.1,8817.3
NIFTY,20160919,14:33,8817.45,8818.6,8816.8,8818.3
NIFTY,20160919,14:34,8818.5,8820.25,8818.35,8818.45
NIFTY,20160919,14:35,8818.7,8820.35,8818.7,8820.05
NIFTY,20160919,14:36,8819.85,8823.5,8819.85,8823.35
NIFTY,20160919,14:37,8823.65,8824.3,8822.85,8823.25
NIFTY,20160919,14:38,8822.65,8822.75,8821.35,8822.3
NIFTY,20160919,14:39,8822.35,8822.9,8821.15,8821.7
NIFTY,20160919,14:40,8821.9,8822.35,8819.3,8819.3
NIFTY,20160919,14:41,8819.1,8819.95,8818.2,8818.8
NIFTY,20160919,14:42,8818.9,8819.95,8818.65,8819.6
NIFTY,20160919,14:43,8819.3,8820.5,8818.9,8819.85
NIFTY,20160919,14:44,8819.75,8820.05,8817.9,8817.95
NIFTY,20160919,14:45,8818.2,8818.55,8816.15,8817.75
NIFTY,20160919,14:46,8817.55,8818.2,8816.4,8817.95
NIFTY,20160919,14:47,8818.05,8818.35,8816.65,8817.2
NIFTY,20160919,14:48,8817.1,8818.5,8816.6,8817.95
NIFTY,20160919,14:49,8818.15,8818.7,8817,8818.45
NIFTY,20160919,14:50,8818.5,8822.2,8818.5,8821.35
NIFTY,20160919,14:51,8821.4,8821.9,8820.45,8821.55
NIFTY,20160919,14:52,8820.75,8822.35,8820.6,8822
NIFTY,20160919,14:53,8822.15,8822.15,8820.65,8821.05
NIFTY,20160919,14:54,8821.25,8821.55,8818.95,8819.3
NIFTY,20160919,14:55,8819.5,8820.65,8819.3,8819.95
NIFTY,20160919,14:56,8819.05,8819.95,8818.3,8818.35
NIFTY,20160919,14:57,8818.8,8819.7,8818.05,8819.25
NIFTY,20160919,14:58,8819.2,8819.65,8818.15,8819.15
NIFTY,20160919,14:59,8818.75,8819.65,8817.9,8818.9
NIFTY,20160919,15:00,8819.05,8819.15,8817,8817.85
NIFTY,20160919,15:01,8817.65,8817.65,8814.6,8814.85
NIFTY,20160919,15:02,8814.7,8814.75,8811.45,8811.85
NIFTY,20160919,15:03,8812.25,8812.25,8808.3,8808.45
NIFTY,20160919,15:04,8808.6,8809.2,8806.3,8808.9
NIFTY,20160919,15:05,8809.15,8809.65,8807.3,8808.7
NIFTY,20160919,15:06,8808.3,8809.65,8808.1,8809.15
NIFTY,20160919,15:07,8808.95,8808.95,8806.65,8807.8
NIFTY,20160919,15:08,8807.55,8808.15,8807.1,8807.9
NIFTY,20160919,15:09,8807.65,8808.3,8807.3,8808.1
NIFTY,20160919,15:10,8808.05,8810,8807.95,8809.35
NIFTY,20160919,15:11,8809.1,8809.8,8808.6,8808.95
NIFTY,20160919,15:12,8808.7,8810.25,8808.2,8809.65
NIFTY,20160919,15:13,8809.3,8809.5,8805.5,8805.55
NIFTY,20160919,15:14,8806.15,8806.85,8804.8,8806.85
NIFTY,20160919,15:15,8806.6,8807.5,8805.1,8806.3
NIFTY,20160919,15:16,8806.15,8807.75,8804.75,8805.75
NIFTY,20160919,15:17,8804.85,8807.05,8804.55,8805.65
NIFTY,20160919,15:18,8805.8,8806.55,8805.05,8805.4
NIFTY,20160919,15:19,8805.5,8807.6,8805,8807.6
NIFTY,20160919,15:20,8807.5,8808.5,8807.05,8808.45
NIFTY,20160919,15:21,8808.6,8810,8807.55,8810
NIFTY,20160919,15:22,8810.1,8810.1,8808.55,8808.85
NIFTY,20160919,15:23,8808.45,8808.95,8807.6,8808.5
NIFTY,20160919,15:24,8808.85,8810.6,8808.7,8810.05
NIFTY,20160919,15:25,8809.85,8811.4,8809.55,8810.6
NIFTY,20160919,15:26,8810.25,8810.4,8809,8809.55
NIFTY,20160919,15:27,8810.3,8810.3,8808.25,8808.9
NIFTY,20160919,15:28,8807.9,8809.8,8807.9,8809.25
NIFTY,20160919,15:29,8808.85,8810.55,8808.75,8809.5
NIFTY,20160919,15:30,8810.3,8811.45,8807.85,8809.05
NIFTY,20160920,09:16,8816.2,8816.45,8797,8798.3
NIFTY,20160920,09:17,8798.35,8799.9,8794.05,8794.3
NIFTY,20160920,09:18,8793.9,8794.35,8789.65,8791.9
